Provinsi,No,Nama Kabupaten/Kota,Ibukota,Latitude,Longitude
Provinsi Aceh,1,Kabupaten Aceh Barat,Meulaboh,4.1450,96.1289
Provinsi Aceh,2,Kabupaten Aceh Barat Daya,Blangpidie,3.7542,96.8225
Provinsi Aceh,3,Kabupaten Aceh Besar,Kota Jantho,5.3083,95.6253
Provinsi Aceh,4,Kabupaten Aceh Jaya,Calang,4.6333,95.5667
Provinsi Aceh,5,Kabupaten Aceh Selatan,Tapak Tuan,3.2667,97.1833
Provinsi Aceh,6,Kabupaten Aceh Singkil,Singkil,2.5000,97.7833
Provinsi Aceh,7,Kabupaten Aceh Tamiang,Karang Baru,4.3167,98.0500
Provinsi Aceh,8,Kabupaten Aceh Tengah,Takengon,4.6167,96.8500
Provinsi Aceh,9,Kabupaten Aceh Tenggara,Kutacane,3.3667,97.8000
Provinsi Aceh,10,Kabupaten Aceh Timur,Idi Rayeuk,4.9667,97.7667
Provinsi Aceh,11,Kabupaten Aceh Utara,Lhoksukon,5.0333,97.2333
Provinsi Aceh,12,Kabupaten Bener Meriah,Simpang Tiga Redelong,4.7167,96.8500
Provinsi Aceh,13,Kabupaten Bireuen,Bireuen,5.2000,96.7000
Provinsi Aceh,14,Kabupaten Gayo Lues,Blang Kejeren,3.9833,97.3500
Provinsi Aceh,15,Kabupaten Nagan Raya,Suka Makmue,4.1333,96.5167
Provinsi Aceh,16,Kabupaten Pidie,Sigli,5.3833,95.9667
Provinsi Aceh,17,Kabupaten Pidie Jaya,Meureudu,5.2289,96.2455
Provinsi Aceh,18,Kabupaten Simeulue,Sinabang,2.5833,96.3833
Provinsi Aceh,19,Kota Banda Aceh,,5.5500,95.3167
Provinsi Aceh,20,Kota Langsa,,4.4667,97.9667
Provinsi Aceh,21,Kota Lhokseumawe,,5.1833,97.1500
Provinsi Aceh,22,Kota Sabang,,5.8904,95.3160
Provinsi Aceh,23,Kota Subulussalam,,2.7333,98.0000
Provinsi Sumatera Utara,1,Kabupaten Asahan,Kisaran,2.9833,99.6167
Provinsi Sumatera Utara,2,Kabupaten Batu Bara,Limapuluh,3.2000,99.3000
Provinsi Sumatera Utara,3,Kabupaten Dairi,Sidikalang,2.7500,98.3000
Provinsi Sumatera Utara,4,Kabupaten Deli Serdang,Lubuk Pakam,3.5667,98.8667
Provinsi Sumatera Utara,5,Kabupaten Humbang Hasundutan,Dolok Sanggul,2.2500,98.7000
Provinsi Sumatera Utara,6,Kabupaten Karo,Kabanjahe,3.1000,98.5000
Provinsi Sumatera Utara,7,Kabupaten Labuhanbatu,Rantau Prapat,2.1000,100.0333
Provinsi Sumatera Utara,8,Kabupaten Labuhanbatu Selatan,Kota Pinang,1.7667,100.1167
Provinsi Sumatera Utara,9,Kabupaten Labuhanbatu Utara,Aek Kanopan,2.5833,99.7500
Provinsi Sumatera Utara,10,Kabupaten Langkat,Stabat,3.7500,98.4500
Provinsi Sumatera Utara,11,Kabupaten Mandailing Natal,Panyabungan,1.0000,99.5667
Provinsi Sumatera Utara,12,Kabupaten Nias,Gido,1.3000,97.6167
Provinsi Sumatera Utara,13,Kabupaten Nias Barat,Lahomi,1.2500,97.2333
Provinsi Sumatera Utara,14,Kabupaten Nias Selatan,Teluk Dalam,0.5667,97.8167
Provinsi Sumatera Utara,15,Kabupaten Nias Utara,Lotu,1.4167,97.2500
Provinsi Sumatera Utara,16,Kabupaten Padang Lawas,Sibuhuan,1.1667,99.8833
Provinsi Sumatera Utara,17,Kabupaten Padang Lawas Utara,Gunung Tua,1.4667,99.6500
Provinsi Sumatera Utara,18,Kabupaten Pakpak Bharat,Salak,2.6000,98.1167
Provinsi Sumatera Utara,19,Kabupaten Samosir,Pangururan,2.6333,98.8167
Provinsi Sumatera Utara,20,Kabupaten Serdang Bedagai,Sei Rampah,3.4833,99.0167
Provinsi Sumatera Utara,21,Kabupaten Simalungun,Raya,2.8000,98.9500
